sctid	fsn	lattomidsag	lrselector
263321001	"Sixth costocorporeal joint (body structure)"	Y	NULL
263322008	"Seventh costocorporeal joint (body structure)"	Y	NULL
263323003	"Eighth costocorporeal joint (body structure)"	Y	NULL
263324009	"Ninth costocorporeal joint (body structure)"	Y	NULL
263325005	"Tenth costocorporeal joint (body structure)"	Y	NULL
263326006	"Eleventh costocorporeal joint (body structure)"	Y	NULL
263327002	"Twelfth costocorporeal joint (body structure)"	Y	NULL
263328007	"Entire costotransverse joint (body structure)"	Y	NULL
263329004	"First costotransverse joint (body structure)"	Y	NULL
263330009	"Second costotransverse joint (body structure)"	Y	NULL
263331008	"Third costotransverse joint (body structure)"	Y	NULL
263332001	"Fourth costotransverse joint (body structure)"	Y	NULL
263333006	"Fifth costotransverse joint (body structure)"	Y	NULL
263335004	"Sixth costotransverse joint (body structure)"	Y	NULL
263336003	"Seventh costotransverse joint (body structure)"	Y	NULL
263337007	"Eighth costotransverse joint (body structure)"	Y	NULL
263338002	"Ninth costotransverse joint (body structure)"	Y	NULL
263339005	"Tenth costotransverse joint (body structure)"	Y	NULL
263340007	"Entire ciliary body (body structure)"	Y	NULL
263344003	"Entire lacrimal punctum (body structure)"	Y	NULL
263345002	"Upper lacrimal punctum (body structure)"	Y	NULL
263346001	"Lower lacrimal punctum (body structure)"	Y	NULL
263348000	"Entire lacrimal canaliculus (body structure)"	Y	NULL
263349008	"Common lacrimal canaliculus (body structure)"	Y	NULL
263350008	"Upper lacrimal canaliculus (body structure)"	Y	NULL
263351007	"Lower lacrimal canaliculus (body structure)"	Y	NULL
263356002	"Lateral wall of vagina (body structure)"	Y	NULL
263357006	"Angle of cervix (body structure)"	Y	NULL
263358001	"Entire head of rib (body structure)"	Y	NULL
263359009	"Entire neck of rib (body structure)"	Y	NULL
263360004	"Entire angle of rib (body structure)"	Y	NULL
263361000	"Entire shaft of rib (body structure)"	Y	NULL
263362007	"Posterior third of shaft of rib (body structure)"	Y	NULL
263363002	"Middle third of shaft of rib (body structure)"	Y	NULL
263364008	"Anterior third of shaft of rib (body structure)"	Y	NULL
263365009	"Tip of rib (body structure)"	Y	NULL
263366005	"Lip of acetabulum (body structure)"	Y	NULL
263367001	"Anterior lip of acetabulum (body structure)"	Y	NULL
263368006	"Posterior lip of acetabulum (body structure)"	Y	NULL
263369003	"Floor of acetabulum (body structure)"	Y	NULL
263370002	"Column of acetabulum (body structure)"	Y	NULL
263371003	"Anterior column of acetabulum (body structure)"	Y	NULL
263372005	"Posterior column of acetabulum (body structure)"	Y	NULL
263373000	"Proximal third of patella (body structure)"	Y	NULL
263374006	"Middle third of patella (body structure)"	Y	NULL
263375007	"Distal third of patella (body structure)"	Y	NULL
263379001	"Lateral wall of uterus (body structure)"	Y	NULL
263380003	"Capsule of elbow joint (body structure)"	Y	NULL
26338007	"Entire upper border of third rib (body structure)"	Y	NULL
263381004	"Entire capsule of radiocarpal joint (body structure)"	Y	NULL
263382006	"Entire capsule of hip joint (body structure)"	Y	NULL
263383001	"Entire capsule of ankle joint (body structure)"	Y	NULL
263384007	"Medial third of clavicle (body structure)"	Y	NULL
263385008	"Middle third of clavicle (body structure)"	Y	NULL
263386009	"Distal third of clavicle (body structure)"	Y	NULL
263387000	"Part of shaft of humerus (body structure)"	Y	NULL
263388005	"Entire proximal shaft of humerus (body structure)"	Y	NULL
263389002	"Entire midshaft of humerus (body structure)"	Y	NULL
263390006	"Entire distal shaft of humerus (body structure)"	Y	NULL
26339004	"Structure of posterior tubercle of talus (body structure)"	Y	NULL
263391005	"Part of shaft of radius (body structure)"	Y	NULL
263392003	"Entire proximal shaft of radius (body structure)"	Y	NULL
263393008	"Entire midshaft of radius (body structure)"	Y	NULL
263394002	"Entire distal shaft of radius (body structure)"	Y	NULL
263395001	"Part of shaft of ulna (body structure)"	Y	NULL
263396000	"Entire proximal shaft of ulna (body structure)"	Y	NULL
263397009	"Entire midshaft of ulna (body structure)"	Y	NULL
263398004	"Entire distal shaft of ulna (body structure)"	Y	NULL
263399007	"Entire second metacarpal (body structure)"	Y	NULL
263400000	"Entire third metacarpal (body structure)"	Y	NULL
263401001	"Entire fourth metacarpal (body structure)"	Y	NULL
263402008	"Entire fifth metacarpal (body structure)"	Y	NULL
263403003	"Entire proximal phalanx of index finger (body structure)"	Y	NULL
263404009	"Entire proximal phalanx of middle finger (body structure)"	Y	NULL
263405005	"Entire proximal phalanx of ring finger (body structure)"	Y	NULL
263406006	"Entire proximal phalanx of little finger (body structure)"	Y	NULL
263407002	"Entire middle phalanx of index finger (body structure)"	Y	NULL
263408007	"Entire middle phalanx of middle finger (body structure)"	Y	NULL
263409004	"Entire middle phalanx of ring finger (body structure)"	Y	NULL
263410009	"Entire middle phalanx of little finger (body structure)"	Y	NULL
263412001	"Base of proximal phalanx of index finger (body structure)"	Y	NULL
263413006	"Base of proximal phalanx of middle finger (body structure)"	Y	NULL
263414000	"Base of proximal phalanx of ring finger (body structure)"	Y	NULL
263415004	"Base of proximal phalanx of little finger (body structure)"	Y	NULL
263416003	"Shaft of proximal phalanx of index finger (body structure)"	Y	NULL
263417007	"Shaft of proximal phalanx of middle finger (body structure)"	Y	NULL
263418002	"Shaft of proximal phalanx of ring finger (body structure)"	Y	NULL
263419005	"Shaft of proximal phalanx of little finger (body structure)"	Y	NULL
263420004	"Neck of proximal phalanx of index finger (body structure)"	Y	NULL
263421000	"Neck of proximal phalanx of middle finger (body structure)"	Y	NULL
263422007	"Neck of proximal phalanx of ring finger (body structure)"	Y	NULL
263423002	"Neck of proximal phalanx of little finger (body structure)"	Y	NULL
263424008	"Head of proximal phalanx of index finger (body structure)"	Y	NULL
263425009	"Head of proximal phalanx of middle finger (body structure)"	Y	NULL
263426005	"Head of proximal phalanx of ring finger (body structure)"	Y	NULL
263427001	"Head of proximal phalanx of little finger (body structure)"	Y	NULL
263428006	"Base of middle phalanx of index finger (body structure)"	Y	NULL
263429003	"Base of middle phalanx of middle finger (body structure)"	Y	NULL
263430008	"Base of middle phalanx of ring finger (body structure)"	Y	NULL
263431007	"Base of middle phalanx of little finger (body structure)"	Y	NULL
263432000	"Shaft of middle phalanx of index finger (body structure)"	Y	NULL
263433005	"Shaft of middle phalanx of middle finger (body structure)"	Y	NULL
263434004	"Shaft of middle phalanx of ring finger (body structure)"	Y	NULL
263435003	"Shaft of middle phalanx of little finger (body structure)"	Y	NULL
263437006	"Neck of middle phalanx of index finger (body structure)"	Y	NULL
263438001	"Neck of middle phalanx of middle finger (body structure)"	Y	NULL
263439009	"Neck of middle phalanx of ring finger (body structure)"	Y	NULL
263440006	"Neck of middle phalanx of little finger (body structure)"	Y	NULL
263441005	"Head of middle phalanx of index finger (body structure)"	Y	NULL
263442003	"Head of middle phalanx of middle finger (body structure)"	Y	NULL
263443008	"Head of middle phalanx of ring finger (body structure)"	Y	NULL
263444002	"Head of middle phalanx of little finger (body structure)"	Y	NULL
263445001	"Base of distal phalanx of index finger (body structure)"	Y	NULL
263446000	"Base of distal phalanx of middle finger (body structure)"	Y	NULL
263447009	"Base of distal phalanx of ring finger (body structure)"	Y	NULL
263448004	"Base of distal phalanx of little finger (body structure)"	Y	NULL
263449007	"Shaft of distal phalanx of index finger (body structure)"	Y	NULL
263450007	"Shaft of distal phalanx of middle finger (body structure)"	Y	NULL
263451006	"Shaft of distal phalanx of ring finger (body structure)"	Y	NULL
263452004	"Shaft of distal phalanx of little finger (body structure)"	Y	NULL
263453009	"Neck of distal phalanx of index finger (body structure)"	Y	NULL
263454003	"Neck of distal phalanx of middle finger (body structure)"	Y	NULL
263455002	"Neck of distal phalanx of ring finger (body structure)"	Y	NULL
263456001	"Neck of distal phalanx of little finger (body structure)"	Y	NULL
263457005	"Head of distal phalanx of index finger (body structure)"	Y	NULL
263458000	"Head of distal phalanx of middle finger (body structure)"	Y	NULL
263459008	"Head of distal phalanx of ring finger (body structure)"	Y	NULL
263460003	"Head of distal phalanx of little finger (body structure)"	Y	NULL
263461004	"Entire base of second metacarpal bone (body structure)"	Y	NULL
263462006	"Entire shaft of second metacarpal bone (body structure)"	Y	NULL
263463001	"Neck of second metacarpal (body structure)"	Y	NULL
263464007	"Entire head of second metacarpal bone (body structure)"	Y	NULL
263465008	"Entire base of third metacarpal bone (body structure)"	Y	NULL
263466009	"Entire shaft of third metacarpal bone (body structure)"	Y	NULL
263467000	"Neck of third metacarpal (body structure)"	Y	NULL
263468005	"Entire head of third metacarpal bone (body structure)"	Y	NULL
263469002	"Entire base of fourth metacarpal bone (body structure)"	Y	NULL
263470001	"Entire shaft of fourth metacarpal bone (body structure)"	Y	NULL
263471002	"Neck of fourth metacarpal (body structure)"	Y	NULL
263472009	"Entire head of fourth metacarpal bone (body structure)"	Y	NULL
263473004	"Entire base of fifth metacarpal bone (body structure)"	Y	NULL
263474005	"Entire shaft of fifth metacarpal bone (body structure)"	Y	NULL
263475006	"Neck of fifth metacarpal (body structure)"	Y	NULL
263476007	"Entire head of fifth metacarpal bone (body structure)"	Y	NULL
263480002	"Entire tendon of supraspinatus muscle (body structure)"	Y	NULL
263481003	"Entire nasal cavity (body structure)"	Y	NULL
26356007	"Structure of tail of caudate nucleus (body structure)"	Y	NULL
26357003	"Structure of anterior cells of ethmoid sinus (body structure)"	Y	NULL
263790009	"Entire membranous labyrinth (body structure)"	Y	NULL
263792001	"Large retinal vessel (body structure)"	Y	NULL
26386000	"Vitreous cavity structure (body structure)"	Y	NULL
263940002	"Entire angle of mouth (body structure)"	Y	NULL
263945007	"Apex of great toe (body structure)"	Y	NULL
263946008	"Apex of second toe (body structure)"	Y	NULL
263947004	"Apex of third toe (body structure)"	Y	NULL
263948009	"Apex of fourth toe (body structure)"	Y	NULL
263949001	"Apex of fifth toe (body structure)"	Y	NULL
263950001	"Entire right lower lobe apical segmental bronchus (body structure)"	R	NULL
263956007	"Attic of tympanic membrane (body structure)"	Y	NULL
263963007	"Branch of renal artery (body structure)"	Y	NULL
263984002	"Entire dorsal surface of great toe (body structure)"	Y	NULL
263985001	"Entire dorsal surface of second toe (body structure)"	Y	NULL
263986000	"Entire dorsal surface of third toe (body structure)"	Y	NULL
263987009	"Entire dorsal surface of fourth toe (body structure)"	Y	NULL
263988004	"Entire dorsal surface of fifth toe (body structure)"	Y	NULL
263992006	"Entire epitrochlear lymph node (body structure)"	Y	NULL
263994007	"Extracapsular condyle of mandible (body structure)"	Y	NULL
264016003	"Hilar lymph node group (body structure)"	Y	NULL
264017007	"Entire hilum of lung (body structure)"	Y	NULL
264028006	"Entire incudostapedial articulation (body structure)"	Y	NULL
264032000	"Entire inferior lingular bronchus (body structure)"	-	Y
264033005	"Inferior lingular segment (body structure)"	-	L
264036002	"Inferior tympanic membrane (body structure)"	Y	NULL
264050007	"Iris surface (body structure)"	Y	NULL
264052004	"Isolated intraparenchymal pulmonary arteries (body structure)"	Y	NULL
264057005	"Lateral conjunctiva (body structure)"	Y	NULL
264061004	"Entire right lower lobe lateral segmental bronchus (body structure)"	R	NULL
264063001	"Entire lateral wall of urinary bladder (body structure)"	Y	NULL
264064007	"Lateral wall of cervix (body structure)"	Y	NULL
264066009	"Entire left sinus of Valsalva (body structure)"	-	L
264069002	"Left sided atrium (body structure)"	-	L
264070001	"Entire outflow tract of left ventricle (body structure)"	-	L
264073004	"Lower renal calyx (body structure)"	Y	NULL
264075006	"Entire inferior conjunctival fornix (body structure)"	Y	NULL
264079000	"Lower pole artery (body structure)"	Y	NULL
264089001	"Entire incudomallear articulation (body structure)"	Y	NULL
264090005	"Entire malleus (body structure)"	Y	NULL
264091009	"Entire manubrium of malleus (body structure)"	Y	NULL
264097008	"Entire right lower lobe medial segmental bronchus (body structure)"	R	NULL
264101004	"Middle renal calyx (body structure)"	Y	NULL
264102006	"Middle third of longitudinal segment of meniscus (body structure)"	Y	NULL
264108005	"Entire obtuse marginal branch of circumflex branch of left coronary artery (body structure)"	-	L
264120002	"Parafoveal retina (body structure)"	Y	NULL
264122005	"Paramacular retina (body structure)"	Y	NULL
264125007	"Entire paraurethral gland (body structure)"	Y	NULL
264129001	"Parietal subarachnoid space (body structure)"	Y	NULL
264130006	"Entire ureteropelvic junction (body structure)"	Y	NULL
264132003	"Structure of perilunate joint (body structure)"	Y	NULL
264141008	"Peripheral retina (body structure)"	Y	NULL
264145004	"Entire peroneal compartment of lower leg (body structure)"	Y	NULL
264150005	"Entire posterior descending branch of right coronary artery (body structure)"	-	R
264151009	"Posterior horn of longitudinal segment of meniscus (body structure)"	Y	NULL
264155000	"Entire right lower lobe posterior segmental bronchus (body structure)"	R	NULL
264157008	"Posterior third of longitudinal segment of meniscus (body structure)"	Y	NULL
264158003	"Entire posterior recess of tympanic membrane (body structure)"	Y	NULL
264161002	"Entire left posterior lateral branch of circumflex branch of left coronary artery (body structure)"	-	L
264165006	"Pulmonary venous pathway (body structure)"	Y	NULL
264167003	"Entire radioulnar joint (body structure)"	Y	NULL
264177001	"Entire right sinus of Valsalva (body structure)"	-	R
264181001	"Right sided atrium (body structure)"	-	R
264182008	"Right ventricle - body (body structure)"	-	R
264183003	"Entire outflow tract of right ventricle (body structure)"	-	R
264190008	"Scapulothoracic joint (body structure)"	Y	NULL
264192000	"Entire second web space of foot (body structure)"	Y	NULL
264198001	"Splanchnic nerve (body structure)"	Y	NULL
264199009	"Entire stapes (body structure)"	Y	NULL
264200007	"Stapes superstructure (body structure)"	Y	NULL
264211004	"Subtemporal extradural space (body structure)"	Y	NULL
264213001	"Superficial inguinal pouch (body structure)"	Y	NULL
264214007	"Entire superficial posterior compartment of lower leg (body structure)"	Y	NULL
264218005	"Entire superior lingular bronchus (body structure)"	-	Y
264219002	"Superior lingular segment (body structure)"	-	L
264229009	"Temporal subarachnoid space (body structure)"	Y	NULL
26423007	"Structure of vulvar connective tissue (body structure)"	Y	NULL
264234008	"Entire third web space of foot (body structure)"	Y	NULL
264238006	"Entire transverse process of vertebra (body structure)"	Y	NULL
264239003	"Entire mastoid antrum (body structure)"	Y	NULL
264241002	"Upper renal calyx (body structure)"	Y	NULL
264243004	"Entire superior conjunctival fornix (body structure)"	Y	NULL
264249000	"Upper pole artery (body structure)"	Y	NULL
264252008	"Upper thigh (surface region) (body structure)"	Y	NULL
264437004	"Entire adductor compartment of thigh (body structure)"	Y	NULL
264439001	"Anterior horn of longitudinal segment of meniscus (body structure)"	Y	NULL
264440004	"Entire right lower lobe anterior segmental bronchus (body structure)"	R	NULL
26444007	"Shoulder girdle structure (body structure)"	Y	NULL
264442007	"Anterior third of longitudinal segment of meniscus (body structure)"	Y	NULL
264444008	"Anterior tympanic membrane (body structure)"	Y	NULL
264446005	"Entire arytenoid cartilage (body structure)"	Y	NULL
264447001	"Entire buccal frenum (body structure)"	Y	NULL
264448006	"Entire carpal canal (body structure)"	Y	NULL
264449003	"Central pulmonary arteries (body structure)"	Y	NULL
264456009	"Entire cuneiform cartilage (body structure)"	Y	NULL
264458005	"Entire deep posterior compartment of lower leg (body structure)"	Y	NULL
264464003	"Entire extensor compartment of forearm (body structure)"	Y	NULL
264465002	"Entire extensor compartment of thigh (body structure)"	Y	NULL
264466001	"Entire extensor compartment of upper arm (body structure)"	Y	NULL
264470009	"Fifth ray (body structure)"	Y	NULL
264471008	"First ray (body structure)"	Y	NULL
264472001	"Entire first web space of foot (body structure)"	Y	NULL
264474000	"Entire flexor compartment of forearm (body structure)"	Y	NULL
264475004	"Entire flexor compartment of thigh (body structure)"	Y	NULL
264476003	"Entire flexor compartment of upper arm (body structure)"	Y	NULL
264477007	"Entire flexor pollicis longus muscle tendon sheath (body structure)"	Y	NULL
264478002	"Entire fourth web space of foot (body structure)"	Y	NULL
264479005	"Entire fovea centralis (body structure)"	Y	NULL
264481007	"Gastrocnemius vein (body structure)"	Y	NULL
264485003	"Interstitial fallopian tube (body structure)"	Y	NULL
264487006	"Entire intrinsic muscle compartment of hand (body structure)"	Y	NULL
264490000	"Entire long process of incus (body structure)"	Y	NULL
264493003	"Papillary muscle at right ventricular apex (body structure)"	-	R
264494009	"Papillary muscle on right ventricular free wall (body structure)"	-	R
264495005	"Entire piriform recess (body structure)"	Y	NULL
264496006	"Entire testicular vein (body structure)"	Y	NULL
264497002	"Ulnar collateral ligament of metacarpophalangeal joint of thumb (body structure)"	Y	NULL
264509009	"Entire bulbar conjunctiva (body structure)"	Y	NULL
264604008	"Ureterostomy - stoma (morphologic abnormality)"	Y	NULL
26461005	"Skin structure of crura of antihelix (body structure)"	Y	NULL
264836003	"Hole in broad ligament (body structure)"	Y	NULL
264843009	"Entire apex of left ventricle (body structure)"	-	L
264844003	"Left ventricle apical anterior segment (body structure)"	-	L
264845002	"Left ventricle apical septal segment (body structure)"	-	L
264846001	"Left ventricle basal inferior segment (body structure)"	-	L
264847005	"Left ventricle mid inferior segment (body structure)"	-	L
264848000	"Left ventricle mid anterior segment (body structure)"	-	L
264849008	"Left ventricle apical inferior segment (body structure)"	-	L
264850008	"Left ventricle basal anterior segment (body structure)"	-	L
264851007	"Left ventricular basal segment (body structure)"	-	L
264852000	"Left ventricle mid lateral segment (body structure)"	-	L
264853005	"Left ventricle apical lateral segment (body structure)"	-	L
264854004	"Left ventricle mid septal segment (body structure)"	-	L
264855003	"LV midventricular segment (body structure)"	-	L
264856002	"Left ventricular segment (body structure)"	-	L
26486001	"Entire crest of head of eleventh rib (body structure)"	Y	NULL
264913008	"Entire apex of right ventricle (body structure)"	-	R
2653009	"Structure of posterior thalamic radiation of internal capsule (body structure)"	Y	NULL
26552008	"Foot joint structure (body structure)"	Y	NULL
26559004	"Structure of left ureter (body structure)"	L	NULL
265780004	"Entire nipple (body structure)"	Y	NULL
265781000	"Entire eyebrow (body structure)"	Y	NULL
265782007	"Entire eyelid (body structure)"	Y	NULL
265784008	"Entire mastoid (body structure)"	Y	NULL
265787001	"Entire palatine tonsil (body structure)"	Y	NULL
265790007	"Entire subclavian artery (body structure)"	Y	NULL
265791006	"Entire digital artery of hand (body structure)"	Y	NULL
265801006	"Entire muscle of shoulder or upper arm (body structure)"	Y	NULL
265802004	"Entire biceps brachii (body structure)"	Y	NULL
265803009	"Muscle or tendon of hand (body structure)"	Y	NULL
265804003	"Entire interosseous muscle of hand (body structure)"	Y	NULL
265806001	"Entire skeletal muscle of lower leg (body structure)"	Y	NULL
265807005	"Entire skeletal muscle of foot (body structure)"	Y	NULL
265809008	"Entire bone of hand (body structure)"	Y	NULL
26583007	"Structure of internal axis of eyeball (body structure)"	Y	NULL
26584001	"Structure of superior epigastric vein (body structure)"	Y	NULL
266005	"Structure of right lower lobe of lung (body structure)"	R	NULL
26641008	"Structure of medial branch of left hepatic duct (body structure)"	-	L
266414008	"Supernumerary tooth (body structure)"	Y	NULL
26642001	"Structure of intervertebral foramen of tenth thoracic vertebra (body structure)"	Y	NULL
26655000	"Posterior superior ansiform lobule of cerebellum (body structure)"	Y	NULL
2666009	"Structure of semispinalis capitis muscle (body structure)"	Y	NULL
26671000	"Structure of pulp of tooth (body structure)"	Y	NULL
26672007	"Infratemporal region structure (body structure)"	Y	NULL
26701009	"Structure of pelvic ganglia (body structure)"	Y	NULL
26702002	"Structure of intercapital vein (body structure)"	Y	NULL
26703007	"Structure of anterior tibial vein (body structure)"	Y	NULL
2672009	"Structure of anterior cutaneous branch of lumbosacral plexus (body structure)"	Y	NULL
26728004	"Entire outer surface of tenth rib (body structure)"	Y	NULL
26747001	"Structure of anterior intercavernous sinus (body structure)"	Y	NULL
2675006	"Structure of anterior ethmoidal artery (body structure)"	Y	NULL
267632005	"Entire sympathetic enteric plexus (body structure)"	Y	NULL
267716001	"Entire Auerbach's plexus (body structure)"	Y	NULL
26773006	"Entire articular part of tubercle of sixth rib (body structure)"	Y	NULL
26788001	"Structure of pubofemoral ligament (body structure)"	Y	NULL
26795005	"Skin structure of thenar region of palm (body structure)"	Y	NULL
26803003	"Structure of circumorbital skin (body structure)"	Y	NULL
26805005	"Structure of small saphenous vein (body structure)"	Y	NULL
2681003	"Structure of dorsal nerve of penis (body structure)"	Y	NULL
26818002	"Superficial palmar arch structure (body structure)"	Y	NULL
26834004	"Entire callosal branch of anterior cerebral artery (body structure)"	Y	NULL
26839009	"Skin structure of middle finger (body structure)"	Y	NULL
26844002	"Structure of sacral ganglia (body structure)"	Y	NULL
2686008	"Structure of medial olfactory gyrus (body structure)"	Y	NULL
26868005	"Ossicular ligament structure (body structure)"	Y	NULL
2687004	"Structure of Bowman's space (body structure)"	Y	NULL
26887004	"Skin structure of third toe (body structure)"	Y	NULL
26893007	"Inguinal region structure (body structure)"	Y	NULL
26896004	"Structure of paramesonephric duct (body structure)"	Y	NULL
26907003	"Structure of oculomotor nerve obliquus inferior branch (body structure)"	Y	NULL
26910005	"Structure of apical branch of inferior right pulmonary vein (body structure)"	R	NULL
269182005	"Entire lateral branch of left hepatic duct (body structure)"	-	L
26924009	"Entire occipital branch of posterior cerebral artery (body structure)"	Y	NULL
269263008	"Entire medial branch of left hepatic duct (body structure)"	-	L
269447003	"Structure of right hepatic duct of caudate lobe (body structure)"	-	R
2695000	"Left maxillary sinus structure (body structure)"	L	NULL
269522003	"Structure of left hepatic duct of caudate lobe (body structure)"	-	L
269625005	"Entire anterior branch of right hepatic duct (body structure)"	-	R
26969003	"Tubercle of tenth rib structure (body structure)"	Y	NULL
26972005	"Structure of cortex of frontal lobe (body structure)"	Y	NULL
269727007	"Entire posterior branch of right hepatic duct (body structure)"	-	R
26980003	"Structure of obturator muscle (body structure)"	Y	NULL
26983001	"Structure of upper abdominal quadrant (body structure)"	Y	NULL
26987000	"Central carpal bone (body structure)"	Y	NULL
26991005	"Structure of transverse process of lumbar vertebra (body structure)"	Y	NULL
27022003	"Structure of vagus nerve cardiac thoracic branch (body structure)"	Y	NULL
270226005	"Entire anterior segment of right lobe of liver (body structure)"	-	R
2703009	"Entire calcarine artery (body structure)"	Y	NULL
270327004	"Entire posterior segment of right lobe of liver (body structure)"	-	R
27039001	"Structure of medial surface of sublingual gland (body structure)"	Y	NULL
27053001	"Entire intraglandular parotid lymph node (body structure)"	Y	NULL
27057000	"Structure of intervertebral foramen of seventh cervical vertebra (body structure)"	Y	NULL
27072001	"Structure of capsule of proximal interphalangeal joint of toe (body structure)"	Y	NULL
27098007	"Structure of crest of head of rib (body structure)"	Y	NULL
271085007	"Entire medial segment of left lobe of liver (body structure)"	-	L
27118005	"Structure of extensor carpi ulnaris muscle tendon sheath (body structure)"	Y	NULL
2712006	"Structure of capsule of ankle joint (body structure)"	Y	NULL
271288003	"Entire lateral segment of left lobe of liver (body structure)"	-	L
27140001	"Structure of gyrus fornicatus (body structure)"	Y	NULL
271420006	"Entire lateral condyle of humerus (body structure)"	Y	NULL
27146007	"Structure of lateral occipital sulcus (body structure)"	Y	NULL
27154009	"Structure of subapical segment of right lower lobe of lung (body structure)"	R	NULL
27162001	"Talocalcaneonavicular joint structure (body structure)"	Y	NULL
27175001	"Structure of testicular artery (body structure)"	Y	NULL
2718005	"Structure of apical foramen of tooth (body structure)"	Y	NULL
272005	"Structure of superior articular process of lumbar vertebra (body structure)"	Y	NULL
27225007	"Medulla oblongata dorsal lateral sulcus (body structure)"	Y	NULL
27228009	"Infrapatellar synovial plica structure (body structure)"	Y	NULL
27243006	"Subcutaneous tissue structure of upper eyelid (body structure)"	Y	NULL
27251009	"Structure of lateral articular facet of patella (body structure)"	Y	NULL
2726002	"Structure of fold for stapes (body structure)"	Y	NULL
272613007	"Surface region of axilla (body structure)"	Y	NULL
272617008	"Surface region of limb (body structure)"	Y	NULL
272618003	"Surface region of thumb (body structure)"	Y	NULL
272619006	"Aspect of knee region (body structure)"	Y	NULL
272620000	"Knee joint line (body structure)"	Y	NULL
272621001	"Surface region of toe (body structure)"	Y	NULL
272622008	"Apex of toe (body structure)"	Y	NULL
27263004	"Structure of zona orbicularis of hip joint (body structure)"	Y	NULL
272632001	"Entire cerebral lobe (body structure)"	Y	NULL
272633006	"Cord of brachial plexus (body structure)"	Y	NULL
272634000	"Peripheral nerve of head and neck (body structure)"	Y	NULL
272635004	"Anterior interosseous nerve region (body structure)"	Y	NULL
272636003	"Posterior interosseous nerve region (body structure)"	Y	NULL
272638002	"Ulnar nerve branch (body structure)"	Y	NULL
272639005	"Ulnar nerve region (body structure)"	Y	NULL
272641006	"Radial nerve branch (body structure)"	Y	NULL
272642004	"Radial nerve region (body structure)"	Y	NULL
272644003	"Median nerve branch (body structure)"	Y	NULL
272645002	"Median nerve region (body structure)"	Y	NULL
272648000	"Region of tympanic membrane (body structure)"	Y	NULL
272649008	"Entire incus (body structure)"	Y	NULL
272650008	"Naris, entire, anterior or posterior (body structure)"	Y	NULL
272651007	"Entire segment of right lung (body structure)"	R	NULL
272652000	"Entire segment of left lung (body structure)"	L	NULL
272654004	"Entire lobe of right lung (body structure)"	R	NULL
272655003	"Entire lobe of left lung (body structure)"	L	NULL
272659009	"Gonadal artery (body structure)"	Y	NULL
272662007	"Entire lateral margin of tongue (body structure)"	Y	NULL
272668006	"Entire uterine ligament (body structure)"	Y	NULL
272670002	"Breast quadrant (body structure)"	Y	NULL
272671003	"Entire fascia of upper extremity (body structure)"	Y	NULL
272675007	"Entire lacrimal bone (body structure)"	Y	NULL
272677004	"Entire wormian bone (body structure)"	Y	NULL
272682006	"Entire zygomatic arch (body structure)"	Y	NULL
272683001	"Entire os zygomaticum (body structure)"	Y	NULL
272684007	"Entire zygomatic process of maxilla (body structure)"	Y	NULL
272686009	"Maxillary alveolus structure (body structure)"	Y	NULL
272689002	"Parasymphyseal region of mandible (body structure)"	Y	NULL
272691005	"Bone structure of shoulder girdle (body structure)"	Y	NULL
272692003	"End of clavicle (body structure)"	Y	NULL
272693008	"Epicondyle of humerus (body structure)"	Y	NULL
272694002	"Process of ulna (body structure)"	Y	NULL
272695001	"Entire base of metacarpal bone (body structure)"	Y	NULL
272696000	"Entire shaft of metacarpal bone (body structure)"	Y	NULL
272697009	"Neck of metacarpal (body structure)"	Y	NULL
272698004	"Entire head of metacarpal bone (body structure)"	Y	NULL
272699007	"Part of phalanx of thumb (body structure)"	Y	NULL
272700008	"Entire base of phalanx of thumb (body structure)"	Y	NULL
272701007	"Entire shaft of phalanx of thumb (body structure)"	Y	NULL
272702000	"Neck of phalanx of thumb (body structure)"	Y	NULL
272703005	"Entire head of phalanx of thumb (body structure)"	Y	NULL
272704004	"Base of phalanx of finger (body structure)"	Y	NULL
272705003	"Shaft of phalanx of finger (body structure)"	Y	NULL
272706002	"Neck of phalanx of finger (body structure)"	Y	NULL
272707006	"Head of phalanx of finger (body structure)"	Y	NULL
272712007	"Entire iliac spine (body structure)"	Y	NULL
272713002	"Border of patella (body structure)"	Y	NULL
272714008	"Entire articular facet of patella (body structure)"	Y	NULL
272715009	"Third of patella (body structure)"	Y	NULL
272716005	"Entire tubercle of calcaneum (body structure)"	Y	NULL
272717001	"Structure of subtalar articular facet of calcaneum (body structure)"	Y	NULL
272718006	"Bone structure of forefoot (body structure)"	Y	NULL
272719003	"Entire base of metatarsal (body structure)"	Y	NULL
272720009	"Entire shaft of metatarsal (body structure)"	Y	NULL
272721008	"Entire neck of metatarsal (body structure)"	Y	NULL
272722001	"Entire head of metatarsal (body structure)"	Y	NULL
272723006	"Entire bursa of upper limb (body structure)"	Y	NULL
272724000	"Entire bursa of lower limb (body structure)"	Y	NULL
272744006	"Lung acupuncture points (body structure)"	Y	NULL
272746008	"LU1 (body structure)"	Y	NULL
272747004	"LU2 (body structure)"	Y	NULL
272748009	"LU3 (body structure)"	Y	NULL
272749001	"LU4 (body structure)"	Y	NULL
272750001	"LU5 (body structure)"	Y	NULL
272751002	"LU6 (body structure)"	Y	NULL
272752009	"LU7 (body structure)"	Y	NULL
